Year,Category,Nominee,Additional Info,Won?
2008 (81st),Short Film (Live Action),Auf der Strecke (On the Line),Reto Caffi,NO
2008 (81st),Short Film (Live Action),Manon on the Asphalt,Elizabeth Marre and Olivier Pont,NO
2008 (81st),Short Film (Live Action),New Boy,Steph Green and Tamara Anghie,NO
2008 (81st),Short Film (Live Action),The Pig,Tivi Magnusson and Dorte HËgh,NO
2008 (81st),Short Film (Live Action),Spielzeugland (Toyland),Jochen Alexander Freydank,YES
2008 (81st),Sound,The Curious Case of Benjamin Button,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten",NO
2008 (81st),Sound,The Dark Knight,"Lora Hirschberg, Gary Rizzo and Ed Novick",NO
2008 (81st),Sound,Slumdog Millionaire,"Ian Tapp, Richard Pryke and Resul Pookutty",YES
2008 (81st),Sound,WALL-E,"Tom Myers, Michael Semanick and Ben Burtt",NO
2008 (81st),Sound,Wanted,"Chris Jenkins, Frank A. Monta_o and Petr Forejt",NO
2008 (81st),Sound Editing,The Dark Knight,Richard King,YES
2008 (81st),Sound Editing,Iron Man,Frank Eulner and Christopher Boyes,NO
2008 (81st),Sound Editing,Slumdog Millionaire,Glenn Freemantle and Tom Sayers,NO
2008 (81st),Sound Editing,WALL-E,Ben Burtt and Matthew Wood,NO
2008 (81st),Sound Editing,Wanted,Wylie Stateman,NO
2008 (81st),Visual Effects,The Curious Case of Benjamin Button,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",YES
2008 (81st),Visual Effects,The Dark Knight,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin",NO
2008 (81st),Visual Effects,Iron Man,"John Nelson, Ben Snow, Dan Sudick and Shane Mahan",NO
2008 (81st),Writing,The Curious Case of Benjamin Button,Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,NO
2008 (81st),Writing,Doubt,Written by John Patrick Shanley,NO
2008 (81st),Writing,Frost/Nixon,Screenplay by Peter Morgan,NO
2008 (81st),Writing,The Reader,Screenplay by David Hare,NO
2008 (81st),Writing,Slumdog Millionaire,Screenplay by Simon Beaufoy,YES
2008 (81st),Writing,Frozen River,Written by Courtney Hunt,NO
2008 (81st),Writing,Happy-Go-Lucky,Written by Mike Leigh,NO
2008 (81st),Writing,In Bruges,Written by Martin McDonagh,NO
2008 (81st),Writing,Milk,Written by Dustin Lance Black,YES
2008 (81st),Writing,WALL-E,"Screenplay by Andrew Stanton, Jim Reardon; Original story by Andrew Stanton, Pete Docter",NO
2008 (81st),Jean Hersholt Humanitarian Award,Jerry Lewis,,YES
2008 (81st),Scientific and Technical (Scientific and Engineering Award),RWIN MELZNER ,,YES
2008 (81st),Scientific and Technical (Scientific and Engineering Award),JACQUES DELACOUX ,,YES
2008 (81st),Scientific and Technical (Scientific and Engineering Award),BRUNO COUMERT,,YES
2008 (81st),Scientific and Technical (Technical Achievement Award),STEVE HYL€N ,,YES
2008 (81st),Scientific and Technical (Gordon E. Sawyer Award),Ed Catmull,,YES
2008 (81st),Scientific and Technical (Bonner Medal),Mark Kimball ,,YES
